Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,03-March-25,"Cumulative Generation
during Mar 2025"
SERENTICA RENEWABLES INDIA 5 PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,220.00,1.41,4.42
ACME RAISAR SOLAR ENERGY PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.37,6.94
ACME DHAULPUR POWERTECH PRIVATE LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,300.00,2.34,6.69
ADANI GREEN ENERGY TWENTY FOUR LIMITED_INFIRM,Rajasthan,Private,IPP,Solar,345.00,3.01,8.93
AMP ENERGY GREEN FOUR PRIVATE LIMITED,Rajasthan,Private,IPP,Solar,100.00,0.45,1.68
AGE25AL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,224.65,2.32,9.52
AGE25BL_PSS2_KPS1_SI,Gujarat,Private,IPP,Solar,237.00,4.88,14.46
AGE26AL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,62.50,0.11,0.31
AGE26BL_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,100.10,1.44,4.21
ARE55L_PSS3_KPS1_S,Gujarat,Private,IPP,Solar,187.50,1.39,4.06
AREH4L_PSS1_KPS1,Gujarat,Private,IPP,Solar,1000.00,8.70,25.32
ARINSUN SOLAR (BARSAITADESH),Madhya Pradesh,Private,IPP,Solar,250.00,1.83,4.87
ATHENA SOLAR,Madhya Pradesh,Private,IPP,Solar,250.00,1.77,4.88
AVAADA_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,200.00,1.54,4.72
BEEMPOW_AGAR_RUMS_S,Madhya Pradesh,Private,IPP,Solar,350.00,2.54,7.73
ESPL_RSP SOLAR,Gujarat,Private,IPP,Solar,200.00,2.39,7.17
GANDHAR SOLAR,Gujarat,Private,IPP,Solar,20.00,0.14,0.42
GIPCL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.76,2.29
GSEC 2,Gujarat,Private,IPP,Solar,100.00,0.56,1.65
GSECL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.50,1.51
KAWAS SOLAR,Gujarat,Central,NTPC,Solar,56.00,0.09,0.76
MAHINDRA SOLAR (BADWAR),Madhya Pradesh,Private,IPP,Solar,250.00,1.74,4.77
MASAYA SOLAR,Madhya Pradesh,Private,IPP,Solar,300.00,2.15,6.25
SGEL_RSP_S,Gujarat,Private,IPP,Solar,75.00,0.89,2.37
SHERISHA RAIPUR,Chhattisgarh,Private,IPP,Solar,50.00,0.30,0.88
SOLAPUR SOLAR PV PROJECT,Maharashtra,Central,NTPC,Solar,10.00,0.06,0.06
TPREL_RSP SOLAR,Gujarat,Private,IPP,Solar,100.00,0.75,2.26
ADANI WIND ENERGY KUTCHH FOUR LTD,Gujarat,Private,IPP,Wind,203.70,1.96,5.55
ALFANAR WIND (NANAVALKA),Gujarat,Private,IPP,Wind,300.00,1.70,5.08
APRAAVA ENERGY PRIVATE LIMITED (AEPL),Gujarat,Private,IPP,Wind,201.60,1.64,3.61
ASIPL WIND (BARANDA),Gujarat,Private,IPP,Wind,166.00,0.96,2.98
AWEK1L WIND (RATADIYA),Gujarat,Private,IPP,Wind,425.00,2.40,7.48
AWEKFL WIND (RATADIYA),Gujarat,Private,IPP,Wind,130.00,0.56,1.75
AWEMP1PL_PTNGR_IDR_W,Gujarat,Private,IPP,Wind,324.00,1.73,5.22
CPTTNPL WIND (DAYAPAR),Gujarat,Private,IPP,Wind,126.00,0.40,1.11
GIWEL-II WIND (VADVA),Gujarat,Private,IPP,Wind,250.00,1.64,4.19
GIWEL-III WIND (NARANPAR),Gujarat,Private,IPP,Wind,300.00,0.93,4.20
IGESL_DAYAPAR_BHUJ_W,Gujarat,Private,IPP,Wind,250.00,2.18,6.54
NETRA_KOTDA_BHUJ_W,Gujarat,Private,IPP,Wind,161.10,0.72,2.40
NTPC_REL_DYPR_BHUJ_W,Gujarat,Private,IPP,Wind,50.00,0.20,0.56
OEPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,50.00,0.31,0.87
OKWPL WIND (OSTRO KUTCH),Gujarat,Private,IPP,Wind,250.00,1.91,5.19
POWERICA WIND,Gujarat,Private,IPP,Wind,50.60,0.30,0.63
RENEW AP2 WIND (GHADSISA),Gujarat,Private,IPP,Wind,300.00,2.40,6.11
RENEW WIND (BHUVAD),Gujarat,Private,IPP,Wind,230.00,0.94,3.72
SITAC WIND,Gujarat,Private,IPP,Wind,300.00,2.19,6.24
SRIJAN WIND,Gujarat,Private,IPP,Wind,148.50,0.66,1.93
TORRENT SOLARGEN LIMITED,Gujarat,Private,IPP,Wind,115.00,0.67,1.55
TPSOURY KWAI NMCH SI,Madhya Pradesh,Private,IPP,Solar,140.00,1.35,4.06
TPSOURY BRVD NMCH,Madhya Pradesh,Private,IPP,Solar,160.00,1.25,3.80
ARE41L PSS3 KPSI,Gujarat,Private,IPP,Wind,249.60,2.52,5.63
